Applicant (student) Card Id	Applicant (student) First Name	Applicant (student) Last Name	Applicant (student) Email - Institution	Applications Application Type	Employer Name	Job External Apply? (Yes / No)	Job Title	Applications Status
STU001	Marcus	Johnson	marcus.johnson@stthomas.edu	Job	Target Corporation	No	Business Analyst Intern	accepted
STU001	Marcus	Johnson	marcus.johnson@stthomas.edu	Job	3M	No	Supply Chain Intern	pending
STU001	Marcus	Johnson	marcus.johnson@stthomas.edu	Job	Wells Fargo	No	Finance Intern	declined
STU001	Marcus	Johnson	marcus.johnson@stthomas.edu	Job	Mayo Clinic	No	Operations Intern	pending
STU001	Marcus	Johnson	marcus.johnson@stthomas.edu	Job	UnitedHealth Group	No	Project Manager Intern	interviewing
STU001	Marcus	Johnson	marcus.johnson@stthomas.edu	Job	Best Buy	No	Operations Analyst Intern	pending
STU001	Marcus	Johnson	marcus.johnson@stthomas.edu	Job	Ecolab	No	Business Development Intern	pending
STU002	Priya	Patel	priya.patel@stthomas.edu	Job	Microsoft	No	Software Engineer Intern	interviewing
STU002	Priya	Patel	priya.patel@stthomas.edu	Job	Google	Yes	Software Engineer Intern	declined
STU002	Priya	Patel	priya.patel@stthomas.edu	Job	Meta	Yes	Product Manager Intern	pending
STU002	Priya	Patel	priya.patel@stthomas.edu	Job	Amazon	Yes	Data Engineer Intern	pending
STU002	Priya	Patel	priya.patel@stthomas.edu	Job	Optum	No	Software Developer Intern	pending
STU003	Aisha	Williams	aisha.williams@stthomas.edu	Job	Target Corporation	No	Marketing Intern	pending
STU003	Aisha	Williams	aisha.williams@stthomas.edu	Job	General Mills	No	Brand Marketing Intern	declined
STU003	Aisha	Williams	aisha.williams@stthomas.edu	Job	Edelman	No	Public Relations Intern	pending
STU004	Jordan	Chen	jordan.chen@stthomas.edu	Job	Wells Fargo	No	Financial Analyst Intern	interviewing
STU004	Jordan	Chen	jordan.chen@stthomas.edu	Job	U.S. Bank	No	Banking Intern	pending
STU004	Jordan	Chen	jordan.chen@stthomas.edu	Job	Ameriprise Financial	No	Finance Intern	declined
STU004	Jordan	Chen	jordan.chen@stthomas.edu	Job	KPMG	No	Advisory Intern	pending
STU005	Sofia	Martinez	sofia.martinez@stthomas.edu	Job	Edelman	No	Public Relations Intern	pending
STU006	Elijah	Thompson	elijah.thompson@stthomas.edu	Job	Hennepin Healthcare	No	Research Intern	pending
STU006	Elijah	Thompson	elijah.thompson@stthomas.edu	Job	Children's Minnesota	No	Psychology Intern	declined
STU007	Mei	Liu	mei.liu@stthomas.edu	Job	Best Buy	No	Data Analyst Intern	accepted
STU007	Mei	Liu	mei.liu@stthomas.edu	Job	Optum	No	Analytics Intern	interviewing
STU007	Mei	Liu	mei.liu@stthomas.edu	Job	Target Corporation	No	Data Science Intern	pending
STU007	Mei	Liu	mei.liu@stthomas.edu	Job	Medtronic	No	Data Intern	pending
STU007	Mei	Liu	mei.liu@stthomas.edu	Job	General Mills	No	Analytics Intern	pending
STU007	Mei	Liu	mei.liu@stthomas.edu	Job	3M	No	Data Scientist Intern	pending
STU007	Mei	Liu	mei.liu@stthomas.edu	Job	UnitedHealth Group	No	Data Analytics Intern	pending
STU007	Mei	Liu	mei.liu@stthomas.edu	Job	Mayo Clinic	No	Health Analytics Intern	pending
STU010	Tyler	Anderson	tyler.anderson@stthomas.edu	Job	City of Minneapolis	No	Policy Intern	pending
STU010	Tyler	Anderson	tyler.anderson@stthomas.edu	Job	State Farm	No	Government Relations Intern	pending
STU010	Tyler	Anderson	tyler.anderson@stthomas.edu	Job	Dorsey & Whitney	Yes	Legal Research Intern	declined
STU010	Tyler	Anderson	tyler.anderson@stthomas.edu	Job	KPMG	No	Advisory Intern	pending
STU010	Tyler	Anderson	tyler.anderson@stthomas.edu	Job	Federal Reserve Bank of Minneapolis	No	Research Intern	pending
STU011	Zoe	Kim	zoe.kim@stthomas.edu	Job	Cargill	No	Engineering Intern	pending
STU015	Grace	Park	grace.park@stthomas.edu	Job	Mayo Clinic	No	Nursing Intern	pending
STU016	Isaiah	Torres	isaiah.torres@stthomas.edu	Job	Hennepin County	No	Criminal Justice Intern	pending
